about | [ə'baʊt] |prep. 关于 adv. 大约
ready | ['redɪ] | adj. 1.(人)准备好的 2.(东西)预备好的
red | [red] |n. 红色  adj. 红色的
ride | [raɪd] |v. 骑，骑马，骑车
right | [raɪt] | adj. 对的 adv. 马上，立即
river | ['rɪvəʳ] | n. 1.江，河，水道 2.巨流
robot | ['rəʊbɒt] | n. 机器人
room | [ruːm] |n. 房间
round | [raʊnd] | adv. 绕圈
rubber | ['rʌbəʳ] | n. 橡皮
ruler | ['ruːləʳ] | n. 尺子，直尺
run | [rʌn] | vi. 1.跑，奔跑 2.跑步
say | [seɪ] |v. 说，讲
scarf | [skɑːf] | n. 1.领带，领巾 2.围巾
school | [skuːl] | n. 1.学校 2.上学
scissors | ['sɪzəz] | n. 剪刀
season | ['siːz(ə)n] | n. 季节
seven | ['sev(ə)n] | n. 1.七，2.七个(人或物)
sharpener| [ˈʃɑːpnə(r)] |n. 卷笔刀
she | [ʃiː] | pron. 她(也指雌性动物) 
sheep | [ʃiːp] | n. 1.羊，绵羊 2.胆小鬼；怯懦的人
shirt | [ʃɜːt] | n. (男式)衬衫
short | [ʃɔːt] |adj. 短的
sing | [sɪŋ] | vi. 唱，唱歌
sit | [sɪt] | vi. 坐，就座
six | [sɪks] | n. 1.六，2.六个(人或物)
skip | [skɪp] |v. 跳过，蹦蹦跳跳 
skirt | [skɜːt] | n. 裙子；衬裙
sky | [skaɪ] | n. 天，天空
sleep | [sliːp] | vi. 睡觉，入睡
small | [smɔːl] |adj. 小的（物体体积小）
smile | [smaɪl] | v. 微笑 n. 笑容
snow | [snəʊ] | vi. 下雪 n. 雪
snowman | ['snəʊmæn] | n. 雪人
snowy | ['snəʊɪ] | adj. 1.下雪的；积雪的 2.雪白的
so | [səʊ]sə] | adv. 1.这(那)么 2.这(那)样
some | [sʌm] | pron. 1.有些；一部分 2.一些，少许
sometimes | ['sʌmtaɪmz] | adv. 有时候；偶尔
song | [sɒŋ] | n. 歌，歌曲
sorry | ['sɒrɪ] | adj. 内疚的，抱歉的 int. 对不起
spider | ['spaɪdəʳ] | n. 蜘蛛
spring | [sprɪŋ] | n. 春天；春季
stand | [stænd] |v. 站，站立
star | [stɑːʳ] | n. 星星，恒星
start | [stɑːt] | vi. 开始，启动
stick | [stɪk] | n. 棒，棍；柴枝
sticker | ['stɪkəʳ] |n. 背面有胶水的贴纸
stop | [stɒp] | vt. 停，停止；使中断
story | ['stɔːrɪ] | n. 故事；小说
student | ['stjuːd(ə)nt] |n. 学生
study | ['stʌdɪ] | vt. 1.学习 2.研究，调查
subject | ['sʌbdʒɪkt] | n. 题目；主题
summer | ['sʌməʳ] | n. 夏季
sun | [sʌn] | n. 1.太阳，日 2.日光
sunny | ['sʌnɪ] | adj. 1.阳光充足的；和煦的 2.乐观的
sweater | ['swetəʳ] | n. 针织套衫；运动衫
sweet | [swiːt] | adj. 1.甜的 2.和蔼的；温和的
swim | [swɪm] | n. 游泳
swimming | ['swɪmɪŋ] | n. 游泳；游泳运动
swing | [swɪŋ] |v. 摆动 n. 摇摆
table | ['teɪbl] | n. 桌子；饭桌，餐桌
take | [teɪk] |v. 拿，带着
talk | [tɔːk] |v. 讲话；谈话
tall | [tɔːl] | adj. 高的，(身材等)高大的
teach | [tiːtʃ] | vt. 教书，教育
teddy |  [ˈtedi]|n. 泰迪熊，玩具熊
ten | [ten] | n. 1.十，2.十个（人或物）
thank | [θæŋk] | vt. 谢谢
that | [ðæt] |pron. 那，那个
the | [ðə] |art. 这，那（特指某个）
their | [ðeər] | adj. 他们的；她们的
then | [ðen] |adv. 然后，接下来
there | [ðeər] |adv. 在那边
these| [ðiːz] |pron. 这些（this的复数）
they | [ðeɪ] | pron. 他们；她们
thin | [θɪn] | adv. 薄；稀疏
this | [ðɪs] |pron. 这，这个
those | [ðəʊz] |pron. 那些（that的复数）
three | [θriː] | n. 1.三，2.三个(人或物)
time | [taɪm] |n. 时间
today | [tə'deɪ] | n. 今天
tomato | [tə'mɑːtəʊ] | n. 番茄，西红柿
tomorrow | [tə'mɒrəʊ] |n. 明天
too | [tuː] | adv. 1.也 2.太，过于
touch | [tʌtʃ] | vt. 触摸，接触
